# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	51676
#@/user_id	435aafd9-22e7-4862-aa94-9a43e7cfcf27
a 	啊	c=44 d=1.13799 t=51676
a 	錒	c=1 d=2.00568e-34 t=51676
a 	阿	c=12 d=2.47101e-25 t=51676
a a 	啊啊	c=1 d=4.77505e-40 t=51676
a a a 	啊啊啊	c=1 d=0.000190664 t=51676
a di san fang 	啊第三方	c=1 d=4.88927e-24 t=51676
a dou 	阿斗	c=1 d=3.25427e-29 t=51676
a hong 	阿訇	c=0 d=6.41479e-14 t=51676
a li 	阿里	c=2 d=0.000337144 t=51676
a li yun 	阿里雲	c=2 d=2.32592e-19 t=51676
a lie fu 	阿列夫	c=0 d=2.0686e-23 t=51676
a lie fu yi 	阿列夫一	c=2 d=4.33049e-08 t=51676
a pi 	啊皮	c=1 d=2.73368e-37 t=51676
a si dun 	阿斯頓	c=1 d=1.89352e-11 t=51676
a you 	阿尤	c=0 d=6.63629e-31 t=51676
a zhi 	阿志	c=0 d=4.17146e-10 t=51676
ai 	唉	c=2 d=5.37086e-41 t=51676
ai 	愛	c=7 d=0.296925 t=51676
ai fa dian 	愛發電	c=2 d=1.99501 t=48389
ai hao 	愛好	c=3 d=2.85634e-58 t=51676
ai mi si 	愛彌思	c=2 d=1.02428e-07 t=51676
ai mi si 	愛彌斯	c=3 d=8.79581e-08 t=51676
ai xin 	愛心	c=1 d=0.99005 t=51676
an 	安	c=3 d=1.26802e-39 t=51676
an 	按	c=38 d=0.00909528 t=51676
an 	案	c=1 d=2.70556e-33 t=51676
an di 	安迪	c=1 d=0.00680566 t=51676
an gui ze 	按規則	c=1 d=5.76109e-72 t=51676
an hang 	按行	c=1 d=4.35266e-68 t=51676
an ji er 	安吉爾	c=1 d=1.36241e-50 t=51676
an jian 	按鍵	c=8 d=0.50409 t=51676
an jiang 	按將	c=1 d=1.18221e-28 t=51676
an ke 	安可	c=1 d=1.20351e-91 t=51676
an li 	按理	c=1 d=1.11105e-33 t=51676
an mo 	按摩	c=1 d=0.00914087 t=51676
an na 	安娜	c=1 d=2.34109e-66 t=51676
an ning qu 	安寧區	c=1 d=2.63293e-07 t=51676
an niu 	按鈕	c=9 d=0.0932907 t=51676
