# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	61799
#@/user_id	PC-Windows
a 	啊	c=44 d=1.13799 t=61799
a 	錒	c=1 d=2.00568e-34 t=61799
a 	阿	c=12 d=2.47101e-25 t=61799
a a 	啊啊	c=1 d=4.77505e-40 t=61799
a a a 	啊啊啊	c=1 d=0.000190664 t=61799
a bu 	阿布	c=1 d=0.860708 t=61799
a dao fu 	阿道夫	c=0 d=3.28306e-16 t=61799
a dao fu jia kong li shi 	阿道夫架空歷史	c=1 d=3.29952e-15 t=61799
a di san fang 	啊第三方	c=1 d=4.88927e-24 t=61799
a dou 	阿斗	c=1 d=3.25427e-29 t=61799
a fa 	阿伐	c=2 d=4.93245e-15 t=61799
a fa dan si ji lv kuai di fei 	阿伐殫思極慮快遞費	c=1 d=3.26669e-15 t=61799
a fa jiu kan dao la sa 	阿伐就看到拉薩	c=1 d=3.4e-15 t=61799
a hong 	阿訇	c=0 d=6.41479e-14 t=61799
a ke su 	阿克蘇	c=0 d=3.26669e-16 t=61799
a ke su jian li 	阿克蘇簡歷	c=1 d=3.28306e-15 t=61799
a li 	阿里	c=2 d=0.000337144 t=61799
a li man 	阿里曼	c=1 d=3.04377e-07 t=61799
a li yun 	阿里雲	c=2 d=2.32592e-19 t=61799
a lie fu 	阿列夫	c=0 d=2.0686e-23 t=61799
a lie fu yi 	阿列夫一	c=2 d=4.33049e-08 t=61799
a pi 	啊皮	c=1 d=2.73368e-37 t=61799
a si dun 	阿斯頓	c=1 d=1.89352e-11 t=61799
a yao 	啊喲	c=0 d=2.23396e-16 t=61799
a you 	阿尤	c=0 d=6.63629e-31 t=61799
a zhi 	阿志	c=0 d=4.17146e-10 t=61799
ai 	唉	c=2 d=5.37086e-41 t=61799
ai 	愛	c=7 d=0.296925 t=61799
ai fa dian 	愛發電	c=2 d=1.45317e-07 t=61799
ai fu sen 	艾弗森	c=0 d=6.65125e-16 t=61799
ai fu sen deng ji ka 	艾弗森登記卡	c=1 d=3.43417e-15 t=61799
ai hao 	愛好	c=3 d=2.85634e-58 t=61799
ai mi si 	愛彌思	c=2 d=1.02428e-07 t=61799
ai mi si 	愛彌斯	c=3 d=8.79581e-08 t=61799
ai xin 	愛心	c=1 d=0.99005 t=61799
an 	安	c=3 d=1.26802e-39 t=61799
an 	按	c=38 d=0.00909528 t=61799
an 	暗	c=1 d=3.65721e-20 t=61799
an 	案	c=1 d=2.70556e-33 t=61799
an di 	安迪	c=1 d=0.00680566 t=61799
an gui ze 	按規則	c=1 d=5.76109e-72 t=61799
an hang 	按行	c=1 d=4.35266e-68 t=61799
an ji er 	安吉爾	c=1 d=1.36241e-50 t=61799
an jian 	按鍵	c=8 d=0.50409 t=61799
an jian fang sheng da ku la de shi kai fa 	按鍵放聲大哭拉的屎開發	c=1 d=3.31606e-15 t=61799
an jiang 	按將	c=1 d=1.18221e-28 t=61799
an ke 	安可	c=1 d=1.20351e-91 t=61799
an li 	按理	c=1 d=1.11105e-33 t=61799
an mo 	按摩	c=1 d=0.00914087 t=61799
an na 	安娜	c=1 d=2.34109e-66 t=61799
an ning qu 	安寧區	c=1 d=2.63293e-07 t=61799
an niu 	按鈕	c=9 d=0.0932907 t=61799
an pai 	安排	c=1 d=6.35812e-85 t=61799
an quan 	安全	c=11 d=0.691666 t=61799
an quan fen xi 	安全分析	c=1 d=1.29773e-66 t=61799
an quan xing 	安全性	c=2 d=2.1327e-66 t=61799
an se 	暗色	c=1 d=4.47773e-19 t=61799
an shi 	暗示	c=1 d=0.0274607 t=61799
an shi zhe 	暗示着	c=0 d=2.33679e-16 t=61799
an shi zhe dao fang 	暗示着刀房	c=1 d=2.3485e-15 t=61799
an wo 	按我	c=1 d=3.41588e-11 t=61799
an xia 	按下	c=21 d=0.741164 t=61799
an xing neng 	按性能	c=1 d=3.08379e-43 t=61799
an yi xia 	按一下	c=1 d=1.76077e-97 t=61799
an zhao 	按照	c=27 d=0.664699 t=61799
an zhou 	按州	c=1 d=3.4088e-16 t=61799
an zhu 	按住	c=1 d=1.71858e-47 t=61799
an zhuang 	安裝	c=130 d=1.61788 t=61799
an zhuang dao 	安裝到	c=1 d=7.19536e-11 t=61799
an zhuang de 	安裝的	c=1 d=4.26198e-85 t=61799
an zhuang ge 	安裝個	c=1 d=1.13169e-73 t=61799
an zhuang zai 	安裝在	c=1 d=0.00860854 t=61799
an zhuo 	安卓	c=2 d=9.49258e-06 t=61799
ang 	昂	c=1 d=1.34418e-68 t=61799
ao 	凹	c=2 d=8.33232e-10 t=61799
ao 	奧	c=1 d=1.74342e-10 t=61799
ao gu si ta 	奧古斯塔	c=1 d=4.6116e-42 t=61799
ao han shu 	凹函數	c=2 d=9.22186e-10 t=61799
ao xian chu 	凹陷處	c=1 d=2.93579e-82 t=61799
ba 	吧	c=20 d=0.449329 t=61799
ba 	壩	c=0 d=1.32237e-53 t=61799
ba 	把	c=12 d=5.03046e-06 t=61799
ba chong shen zi 	八重神子	c=1 d=3.27671e-51 t=61799
ba diao 	拔掉	c=1 d=0.0072265 t=61799
ba ge 	八個	c=1 d=3.63626e-70 t=61799
ba gu 	八股	c=2 d=1.73291e-15 t=61799
ba kai 	拔開	c=1 d=0.0152222 t=61799
ba kong 	把控	c=1 d=0.00326335 t=61799
ba na ge 	把那個	c=0 d=1.88786e-65 t=61799
ba na ge wo 	把那個我	c=1 d=1.89733e-64 t=61799
ba ni 	把你	c=1 d=7.62162e-41 t=61799
ba ti 	霸體	c=1 d=2.44044e-55 t=61799
ba zheng ding qi 	八正定气	c=1 d=1.13504e-49 t=61799
ba zi 	靶子	c=1 d=1.0487e-30 t=61799
ba zi mei 	八字眉	c=1 d=6.44475e-09 t=61799
bai 	擺	c=1 d=5.40164e-20 t=61799
bai 	白	c=2 d=1.65294e-30 t=61799
bai bai 	拜拜	c=1 d=4.91362e-53 t=61799
bai cai 	白菜	c=0 d=6.74095e-68 t=61799
bai cai gong chang 	白菜工廠	c=1 d=6.77474e-67 t=61799
bai du 	百度	c=4 d=1.14135e-63 t=61799
bai e 	白厄	c=1 d=3.52508e-87 t=61799
bai fen bi 	百分比	c=1 d=4.04516e-59 t=61799
bai gui 	百鬼	c=1 d=3.23298e-40 t=61799
bai li 	百里	c=1 d=1.31175e-16 t=61799
bai lie 	擺列	c=1 d=2.76539e-55 t=61799
bai se 	白色	c=4 d=1.21589e-35 t=61799
bai shang 	擺上	c=1 d=0.211189 t=61799
bai tiao 	白條	c=1 d=2.11297e-07 t=61799
bai yue kui 	白月魁	c=1 d=2.32063e-51 t=61799
ban 	伴	c=0 d=1.26616e-42 t=61799
ban 	半	c=1 d=5.54575e-65 t=61799
ban 	板	c=5 d=0.0370088 t=61799
ban 	版	c=19 d=1.78405e-05 t=61799
ban 	班	c=1 d=2.65551e-78 t=61799
ban 	辦	c=11 d=0.160414 t=61799
ban ben 	版本	c=76 d=5.84456e-06 t=61799
ban ben en en 	版本嗯嗯	c=1 d=2.46925e-46 t=61799
ban ben hao 	版本號	c=1 d=3.5216e-46 t=61799
ban ben wo 	版本我	c=1 d=4.05839e-68 t=61799
ban fa 	辦法	c=5 d=3.78011e-08 t=61799
ban fa 	頒發	c=1 d=1.79238e-71 t=61799
ban gong 	辦公	c=5 d=5.04262e-05 t=61799
ban ji 	班級	c=2 d=3.67535e-78 t=61799
ban jiao 	半角	c=5 d=1.88893e-15 t=61799
ban kuai 	板塊	c=1 d=1.64749e-50 t=61799
ban lian jie 	半连接	c=1 d=1.84231e-12 t=61799
ban quan 	版權	c=1 d=2.09324e-73 t=61799
ban tou ming 	半透明	c=3 d=0.771052 t=61799
ban wo 	伴我	c=1 d=4.28042e-77 t=61799
ban xiu 	半袖	c=1 d=4.16551e-51 t=61799
ban yue tong mian 	伴月同眠	c=1 d=1.27251e-41 t=61799
ban zi dong 	半自動	c=2 d=3.50978e-30 t=61799
bang 	幫	c=1 d=8.9167e-05 t=61799
bang 	磅	c=2 d=2.26804e-09 t=61799
bang ding 	綁定	c=4 d=0.767206 t=61799
bang ni 	幫你	c=1 d=0.00904991 t=61799
bang wo 	幫我	c=201 d=3.44435 t=61799
bang wo ge ming 	幫我革命	c=1 d=6.74783e-79 t=61799
bang wo o 	幫我哦	c=2 d=6.08081e-31 t=61799
bang wo wo 	幫我我	c=1 d=5.32756e-34 t=61799
bang zhu 	幫助	c=6 d=1.05324e-22 t=61799
bang zhu wo 	幫助我	c=1 d=5.11153e-47 t=61799
bao 	保	c=1 d=1.02867e-09 t=61799
bao 	包	c=62 d=0.00020615 t=61799
bao 	報	c=6 d=1.9827e-23 t=61799
bao 	寶	c=3 d=6.7787e-76 t=61799
bao 	抱	c=1 d=3.28988e-10 t=61799
bao bao 	寶寶	c=4 d=5.38651e-07 t=61799
bao chi 	保持	c=17 d=0.0404849 t=61799
bao chi zai 	保持在	c=1 d=1.60376e-57 t=61799
bao cu 	爆粗	c=1 d=1.71327e-40 t=61799
bao cun 	保存	c=45 d=4.39739e-10 t=61799
bao cun dao 	保存到	c=4 d=1.33916e-24 t=61799
bao cun de 	保存的	c=1 d=2.9137e-52 t=61799
bao cun zai 	保存在	c=5 d=5.69813e-31 t=61799
bao cuo 	報錯	c=89 d=0.0098066 t=61799
bao gao 	報告	c=17 d=1.55261e-23 t=61799
bao guan li 	包管理	c=1 d=5.09226e-32 t=61799
bao guo 	包裹	c=1 d=1.2239e-24 t=61799
bao han 	包含	c=34 d=0.0779411 t=61799
bao han zai 	包含在	c=1 d=6.10921e-27 t=61799
bao hu 	保護	c=3 d=9.24782e-72 t=61799
bao ji 	寶雞	c=4 d=3.85662e-77 t=61799
bao ji shi 	寶雞市	c=1 d=2.00631e-74 t=61799
bao jin wo 	抱緊我	c=1 d=7.24005e-25 t=61799
bao kao 	報考	c=8 d=5.99184e-29 t=61799
